latitude,longitude,temperature,wind_speed,precipitation,timezone,weather_code,airport_iata,airport_city
51.26470184326172,-102.46199798583984,21.2,9.4,0.0,GMT-6,0,YQV,Yorkton
52.76919937133789,-108.24400329589844,20.6,19.5,0.0,GMT-6,3,YQW,North Battleford
48.9369010925293,-54.56809997558594,21.8,20.9,0.0,GMT-2:30,3,YQX,Gander
46.1614,-60.047798,25.1,23.7,0.0,GMT-3,2,YQY,Sydney
53.026100158691406,-122.51000213623048,21.1,11.2,0.0,GMT-7,3,YQZ,Quesnel
74.7169036865,-94.9693984985,2.4,13.0,0.1,GMT-5,53,YRB,Resolute
47.76440048217773,-69.58470153808594,22.8,24.5,0.0,GMT-4,3,YRI,Riviere Du Loup
48.52000045776367,-72.2656021118164,24.3,27.3,0.0,GMT-4,0,YRJ,Roberval
52.4296989441,-114.903999329,23.0,6.5,0.0,GMT-6,3,YRM,Rocky Mountain House
62.8114013672,-92.1157989502,13.5,26.7,0.0,GMT-5,3,YRT,Rankin Inlet
46.625,-80.79889678955078,24.9,17.9,0.0,GMT-4,3,YSB,Sudbury
45.4385986328125,-71.69139862060547,28.5,18.6,0.0,GMT-4,3,YSC,Sherbrooke
45.31610107421875,-65.89029693603516,18.3,23.4,0.0,GMT-3,2,YSJ,St. John
60.020301818847656,-111.96199798583984,22.6,13.3,0.0,GMT-6,2,YSM,Fort Smith
72.982201,-84.613602,3.3,7.7,0.0,GMT-4,3,YSR,Nanisivik
46.44060134887695,-63.83359909057617,24.5,36.2,0.0,GMT-3,0,YSU,Summerside
71.9938964844,-125.242996216,5.7,20.6,0.0,GMT-6,3,YSY,Sachs Harbour
64.2300033569,-76.5267028809,5.6,6.2,0.0,GMT-4,61,YTE,Cape Dorset
55.80110168457031,-97.86419677734376,19.5,10.5,0.0,GMT-5,2,YTH,Thompson
44.118900299072266,-77.5280990600586,27.7,24.3,0.0,GMT-4,0,YTR,Trenton
48.5696983337,-81.376701355,22.2,8.7,0.0,GMT-4,3,YTS,Timmins
43.627499,-79.396202,30.0,23.9,0.0,GMT-4,0,YTZ,Toronto
69.43329620361328,-133.0260009765625,8.5,17.5,0.0,GMT-6,1,YUB,Tuktoyaktuk
45.4706001282,-73.7407989502,32.1,27.2,0.0,GMT-4,0,YUL,Montreal
66.5214004517,-86.22470092770001,10.9,29.7,0.0,GMT-5,3,YUT,Repulse Bay
68.77610015869999,-81.2425,12.7,11.1,0.0,GMT-4,0,YUX,Hall Beach
48.20610046386719,-78.83560180664062,22.5,12.0,0.0,GMT-4,3,YUY,Rouyn
55.1514015198,-105.262001038,23.0,8.6,0.0,GMT-6,0,YVC,La Ronge
53.3558006287,-110.823997498,21.1,19.6,0.0,GMT-6,2,YVG,Vermillion
67.5457992554,-64.03140258789999,8.9,6.4,0.0,GMT-4,0,YVM,Broughton Island
48.0532989502,-77.7827987671,22.4,16.7,0.0,GMT-4,3,YVO,Val D'or
58.096099853515625,-68.4269027709961,19.0,18.5,0.0,GMT-4,2,YVP,Quujjuaq
65.28160095214844,-126.7979965209961,17.5,11.3,0.0,GMT-6,3,YVQ,Norman Wells
49.193901062,-123.183998108,18.2,6.7,0.0,GMT-7,2,YVR,Vancouver
55.8418998718,-108.417999268,21.4,17.7,0.0,GMT-6,2,YVT,Buffalo Narrows
44.7458,-81.107201,29.1,27.8,0.0,GMT-4,1,YVV,Wiarton
45.95220184326172,-77.31919860839844,31.8,25.1,0.0,GMT-4,1,YWA,Petawawa
49.9099998474,-97.2398986816,23.5,7.4,0.0,GMT-5,0,YWG,Winnipeg
52.92190170288086,-66.8644027709961,17.5,6.3,0.0,GMT-3,3,YWK,Wabush
52.1831016541,-122.054000854,24.2,6.4,0.0,GMT-7,1,YWL,Williams Lake
63.20940017700195,-123.43699645996094,14.6,8.5,0.0,GMT-6,3,YWY,Wrigley
49.610801696777,-115.78199768066,23.2,9.9,0.0,GMT-6,0,YXC,Cranbrook
53.5724983215,-113.521003723,21.8,8.2,0.0,GMT-6,2,YXD,Edmonton
52.17079925537109,-106.6999969482422,21.4,13.3,0.0,GMT-6,0,YXE,Saskatoon
50.01890182495117,-110.72100067138672,24.6,19.6,0.0,GMT-6,0,YXH,Medicine Hat
56.23809814453125,-120.73999786376952,19.4,25.8,0.0,GMT-7,3,YXJ,Fort Saint John
50.11389923095703,-91.9052963256836,21.8,12.6,0.0,GMT-5,0,YXL,Sioux Lookout
66.1449966431,-65.71360015869999,12.6,5.0,0.0,GMT-4,0,YXP,Pangnirtung
47.6974006546,-79.8473453522,25.6,21.1,0.0,GMT-4,1,YXR,Earlton
53.8894004822,-122.679000854,19.3,16.6,0.0,GMT-7,3,YXS,Prince George
54.468498,-128.576009,17.9,11.3,0.0,GMT-7,3,YXT,Terrace
43.035599,-81.1539,30.6,21.0,0.0,GMT-4,1,YXU,London
49.025299072265625,-122.36100006103516,21.5,18.3,0.0,GMT-7,0,YXX,Abbotsford
60.7095985413,-135.067001343,11.4,9.4,0.0,GMT-7,61,YXY,Whitehorse
46.363602,-79.422798,24.6,21.4,0.0,GMT-4,3,YYB,North Bay
51.113899231,-114.019996643,23.5,18.2,0.0,GMT-6,0,YYC,Calgary
54.82469940185547,-127.18299865722656,14.2,20.2,0.0,GMT-7,2,YYD,Smithers
58.8363990784,-122.597000122,13.5,16.9,0.5,GMT-7,61,YYE,Fort Nelson
49.46310043334961,-119.60199737548828,27.9,4.4,0.0,GMT-7,0,YYF,Penticton
46.290000915527344,-63.12110137939453,27.2,34.3,0.0,GMT-3,0,YYG,Charlottetown
69.5466995239,-93.5766983032,10.8,21.6,0.0,GMT-6,3,YYH,Spence Bay
48.646900177,-123.426002502,19.6,10.5,0.0,GMT-7,0,YYJ,Victoria
56.86389923095703,-101.07599639892578,20.2,7.6,0.0,GMT-5,1,YYL,Lynn Lake
50.2919006348,-107.691001892,23.6,18.2,0.0,GMT-6,0,YYN,Swift Current
58.739200592041016,-94.06500244140624,12.6,25.7,0.0,GMT-5,2,YYQ,Churchill
53.3191986084,-60.4258003235,22.0,13.6,0.0,GMT-3,3,YYR,Goose Bay
47.618598938,-52.7518997192,21.5,20.3,0.0,GMT-2:30,3,YYT,St. John's
49.41389846801758,-82.46749877929688,23.4,11.2,0.0,GMT-4,1,YYU,Kapuskasing
50.29029846191406,-88.90969848632812,22.7,16.3,0.0,GMT-4,0,YYW,Armstrong
48.60860061645508,-68.20809936523438,22.0,16.0,0.0,GMT-4,3,YYY,Mont Joli
43.6772003174,-79.63059997559999,33.1,20.6,0.0,GMT-4,1,YYZ,Toronto
43.74250030517578,-79.4655990600586,32.4,19.1,0.0,GMT-4,1,YZD,Toronto
45.88529968261719,-82.56780242919922,27.2,7.4,0.0,GMT-4,2,YZE,Gore Bay
62.462799072265625,-114.44000244140624,21.2,12.0,0.0,GMT-6,1,YZF,Yellowknife
55.2930984497,-114.777000427,19.5,11.4,0.0,GMT-6,3,YZH,Slave Lake
53.25429916379999,-131.813995361,14.5,9.0,0.0,GMT-7,3,YZP,Sandspit
42.9994010925293,-82.30889892578125,33.2,20.5,0.0,GMT-4,0,YZR,Sarnia
50.68059921264648,-127.36699676513672,16.1,3.4,0.0,GMT-7,2,YZT,Port Hardy
54.14390182495117,-115.78700256347656,22.5,3.8,0.0,GMT-6,3,YZU,Whitecourt
